,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,Target,Sub_Target
1161,6.9,0.64,0.54,375.3,19.76,169.3,18.21,0.62,7.48,0.34,3.14,0,0
1162,6.9,0.54,0.51,354.45,20.6,303.07,17.5,0.68,7.5,0.3,3.84,0,1
1163,7,0.58,0.52,361.4,12.58,137.5,30.2,0.68,7.6,0.26,2.72,0,0
1164,7,0.67,0.59,410.05,14.94,180.72,29.2,0.72,6.64,0.28,2.78,0,0
1165,7,0.59,0.5,347.5,16.56,216.2,16.7,0.7,6.66,0.32,2.74,0,0
1166,7.1,0.56,0.64,444.8,21.46,139.5,19.3,0.7,6.7,0.28,2.7,0,0
1167,6.9,0.67,0.62,430.9,19.62,287.3,12.8,0.7,6.72,0.3,2.92,0,1
1168,7,0.63,0.66,458.7,14.64,135.82,12.75,0.68,6.16,0.32,2.46,0,0
1169,6.8,0.63,0.7,486.5,18.76,139.4,15.1,0.72,6.8,0.36,2.9,0,0
1170,7,0.68,0.62,430.9,19.76,237.3,18.53,0.66,6.34,0.28,2.44,0,1
1171,6.9,0.54,0.68,472.6,19.24,199.8,17.3,0.7,6.82,0.34,2.66,0,0
1172,6.9,0.13,0.62,432.29,12.26,63.98,24.6,0.88,8.62,0.86,1.42,0,0
1173,7,0.13,0.68,472.6,14.26,78.27,22.4,0.72,7.54,0.82,2.64,0,0
1174,7.8,0.15,0.53,371.13,9,82.01,21.6,0.6,8.44,0.66,1.44,0,0
1175,7.9,0.12,0.61,425.34,11.26,129.08,27.4,0.78,9.72,0.72,1.56,0,0
1176,6.9,0.16,0.69,478.16,8.25,152.66,21.7,0.8,9.64,0.76,1.96,0,0
1177,7.1,0.15,0.59,411.44,12.76,140.64,20.4,0.7,6.94,0.7,2.66,0,0
1178,7.2,0.18,0.62,429.35,17.26,177.35,21.6,0.86,8.56,0.88,1.94,0,0
1179,7.4,0.19,0.55,379.47,13.51,128.46,15.6,0.92,8.66,0.48,2.48,0,0
1180,6.6,0.53,0.92,450.8,7.2,99.68,5.8,0.98,4.84,0.26,2.16,0,0
1181,7.4,0.2,0.54,375.3,10.51,197.4,9.9,0.54,8.16,0.42,0.86,0,0
1182,7.3,0.23,0.6,417,11.26,157.4,10.25,0.76,6.72,0.62,1.68,0,0
1183,7.1,0.22,0.64,444.8,18.01,276.3,17.62,0.72,6.64,0.6,1.62,0,1
1184,7.5,0.27,0.58,403.1,12.01,193.2,15.65,0.68,6.52,0.54,1.56,0,0
1185,7.4,0.25,0.62,430.9,11.26,159.4,14.45,0.64,6.5,0.44,1.58,0,0
1186,7.2,0.26,0.52,361.4,10.01,111.2,13.65,0.74,6.12,0.36,1.76,0,0
1187,7,0.27,0.56,389.2,11.26,159.4,20.12,0.66,6.34,0.4,1.24,0,0
1188,6.8,0.22,0.52,361.4,10.51,203.4,14.25,0.64,7.26,0.26,1.92,0,0
1189,6.5,0.21,0.6,417,11.26,276.3,11.26,0.68,9.14,0.36,1.76,0,1
1190,6.7,0.23,0.64,444.8,12.01,165.3,9.45,0.62,9.66,0.32,1.68,0,0
1191,6.6,0.24,0.7,486.5,19.52,276.4,8.68,0.68,7.24,0.36,1.9,0,1
1192,6.3,0.25,0.68,472.6,14.26,203.8,7.65,0.7,7.22,0.26,1.82,0,0
1193,6.5,0.25,0.62,430.9,13.51,206.9,9.9,0.72,6.3,0.28,1.8,0,0
1194,6.7,0.26,0.56,389.2,12.76,169.4,10.25,0.68,7.86,0.32,1.66,0,0
1195,6.9,0.25,0.58,403.1,11.26,159.5,13.26,0.7,7.42,0.26,1.82,0,0
1196,7,0.26,0.52,361.4,10.51,276.3,13.4,0.64,8.4,0.28,1.8,0,1
1197,7.4,0.26,0.54,375.3,9.76,287.4,9.46,0.8,9.64,0.34,1.88,0,1
1198,6.9,0.18,0.7,486.5,12.76,111.2,12.6,0.78,6.48,0.34,1.4,0,0
1199,7,0.19,0.62,430.9,11.26,197,12.8,0.64,7.12,0.26,1.26,0,0
1200,6.8,0.5,0.53,368.35,20.18,276.1,16.37,0.66,6.88,0.28,2.14,0,1
1201,6.9,0.49,0.55,382.25,14.16,169.5,18.53,0.64,6.14,0.3,2.18,0,0
1202,7,0.48,0.58,403,10.28,263.2,23.27,0.68,7.72,0.32,2.74,0,1
1203,7,0.41,0.52,361.4,14.62,123.47,25.86,0.7,7.24,0.34,3.86,0,0
1204,7,0.41,0.54,375.3,17.6,112.25,5.77,0.66,7.3,0.38,3.24,0,0
1205,6.9,0.58,0.59,410.05,11.38,130.06,11.2,0.7,6.19,0.34,2.28,0,0
1206,6.8,0.57,0.55,382.25,17.86,172.24,5.17,0.7,7.44,0.34,2.68,0,0
1207,6.7,0.58,0.64,444.8,9.74,182.24,7.32,0.68,7.48,0.34,2.72,0,0
1208,6.7,0.63,0.62,430.9,11.82,178.28,17.32,0.68,7.5,0.32,2.74,0,0
1209,6.7,0.67,0.56,389.2,13.64,135.46,9.05,0.66,7.52,0.34,2.86,0,0
1210,7.7,0.19,0.72,500.4,9.76,428.79,18.5,0.62,6.68,0.42,1.22,0,1
1211,6.5,0.24,0.79,549.05,10.8,151.53,14.6,0.72,7.76,0.48,1.28,0,0
1212,6.8,0.13,0.52,364.8,12.01,150.62,14.72,0.68,7.76,0.5,2.56,0,0
1213,6.7,0.13,0.51,354.4,11.26,172.48,17.6,0.76,5.46,0.56,2.78,0,0
1214,7.8,0.19,0.75,521.25,10.51,508.49,17.1,0.74,7.14,0.44,1.16,0,1
1215,7.2,0.25,0.9,625.5,10.51,140.31,10.34,0.64,7.32,0.46,1.4,0,3
1216,6.9,0.17,0.62,430.9,8.25,504,14.6,0.6,7.12,0.36,2.48,0,1
1217,6.8,0.16,0.87,604.6,10.26,118.98,12.6,0.64,8.26,0.32,2.64,0,3
1218,8.1,0.23,0.94,660.2,7.5,118.98,20.26,0.7,6.72,0.26,1.32,0,3
1219,7,0.22,0.53,368.35,15.01,300.48,14.56,0.72,5.66,0.48,2.72,0,1
1220,6.5,0.15,0.75,521.25,10.51,132.45,10.34,0.62,8.2,0.36,2.9,0,0
1221,6,0.19,1.03,715.8,12.76,140.31,12.9,0.68,7.22,0.26,3.1,0,3
1222,6.7,0.13,1.12,778.4,9.76,221.13,10.34,0.86,7.26,0.24,2.48,0,3
1223,7.1,0.14,1.24,861.8,11.26,157.15,7.3,0.92,6.62,0.38,2.74,0,3
1224,7,0.34,1.14,729.3,12.01,240.21,8.6,1.22,8.16,0.32,2.56,0,3
1225,7.5,0.18,0.55,382.2,9,144.8,15.9,0.6,6.58,0.34,2.6,0,0
1226,7.6,0.13,0.53,368.35,18.01,240.6,9.66,0.48,7.48,0.46,1.72,0,1
1227,7.2,0.12,0.55,382.25,15.01,146.8,10.48,0.66,6.72,0.72,1.56,0,0
1228,6.4,0.13,0.72,500.4,8.25,118.2,13.8,0.86,7.88,0.46,5.74,0,0
1229,6.2,0.13,0.7,486.5,9.4,140.12,15.7,0.98,9.1,0.56,5.1,0,0
1230,6.7,0.13,0.68,472.6,11.4,87.12,17.2,0.92,10.12,0.52,5.46,0,0
1231,6.8,0.13,0.74,514.3,23.2,86.18,13.8,0.42,11.42,0.28,3.28,0,0
1232,6.3,0.14,0.67,465.68,16.6,14.12,20.1,0.6,11.62,0.22,3.54,0,0
1233,6.5,0.14,0.91,632.45,28.6,8.04,23.4,0.58,10.52,0.24,3.46,0,3
1234,6,0.14,0.84,583.8,24.6,16.18,17.5,0.76,9.6,0.48,4.52,0,0
1235,6.9,0.14,0.87,604,20.7,22.18,18.9,0.82,8.82,0.48,3.18,0,3
1236,7,0.15,0.84,583.8,22.52,105.1,14.5,0.8,9.18,0.46,3.24,0,0
1237,7.4,0.15,0.76,528.2,19.4,10.32,15.7,0.76,9.22,0.52,3.46,0,0
1238,7.3,0.16,0.78,542.1,21.4,14.27,17.8,0.66,8.24,0.42,3.52,0,0
1239,7.5,0.16,0.9,625.5,19.97,31.37,19.2,0.38,7.14,0.36,4.6,0,3
1240,7.8,0.17,0.82,569.75,20.46,43.45,12.8,0.68,8.24,0.38,4.22,0,0
1241,7.9,0.16,0.85,590.75,19.5,78.45,13.4,0.7,9.32,0.32,3.64,0,3
1242,7.2,0.15,0.64,444.8,12.01,167.6,19.4,0.68,7.14,0.36,1.16,0,0
1243,7.4,0.16,0.75,521.25,12.76,139.4,16.4,0.74,6.68,0.48,1.08,0,0
1244,7.6,0.17,0.7,486.5,11.26,281.6,18.6,0.72,6.72,0.22,1.22,0,1
1245,6.9,0.65,0.51,354.45,14.54,179.3,7.32,0.66,6.88,0.28,2.2,0,0
1246,6.4,0.15,0.54,378.42,33.03,162.63,12.8,0.72,8.1,0.34,2.64,0,0
1247,6.9,0.43,0.5,347.5,11.26,287.2,15.5,0.7,7.48,0.3,0.28,0,1
1248,7.1,0.44,0.52,361.4,12.74,200.92,17.24,0.68,7.44,0.32,0.3,0,0
1249,6.9,0.62,0.54,375.3,16.52,363.69,15.08,0.72,7.48,0.3,0.3,0,1
1250,6.9,0.62,0.6,417,15.72,287.5,11.2,0.68,7.54,0.32,0.32,0,1
1251,6.9,0.62,0.52,361.4,16.5,169.4,13.06,0.66,7.86,0.34,0.28,0,0
1252,6.9,0.82,0.54,375.3,10.24,363.69,13.6,0.74,7.42,0.34,0.26,0,1
1253,6.8,0.62,0.56,389.2,18.46,197.6,12.8,0.72,7.54,0.32,0.26,0,0
1254,6.4,0.12,0.59,486.57,10.51,186.4,13.4,0.66,7.44,0.28,2.56,0,0
1255,6.2,0.12,0.57,397.54,12.76,192.86,14.8,0.68,7.68,0.32,2.98,0,0
1256,6.1,0.17,0.51,356.53,24.02,150.48,27.4,0.68,7.7,0.36,2.54,0,0
1257,7.8,0.19,0.56,385.72,9,129.08,17.4,0.7,7.64,0.3,2.72,0,0
1258,7.4,0.19,0.52,360.01,7.5,145.92,19.7,0.64,7.72,0.26,2.22,0,0
1259,7.2,0.18,0.54,377.38,11.26,160.48,20.6,0.66,7.98,0.28,2.28,0,0
1260,7.1,0.16,0.55,382.25,12.01,180.6,27.4,0.7,7.14,0.26,2.42,0,0
1261,7.5,0.17,0.6,417,15.01,196.48,25.8,0.76,7.84,0.24,2.6,0,0
1262,7.6,0.17,0.62,432.29,16.51,160.56,19.4,0.74,8.18,0.3,2.32,0,0
1263,7.6,0.17,0.62,427.42,18.01,180.74,17.4,0.64,7.24,0.32,2.28,0,0
1264,6.9,0.25,0.66,458.7,8.25,469.1,10.7,0.64,6.32,0.42,1.86,0,1
1265,7.2,0.25,0.54,375.3,9.76,176.3,10.8,0.72,6.38,0.68,1.38,0,0
1266,7,0.23,0.68,472.6,6.75,289.2,10.1,0.76,6.76,0.64,1.56,0,1
1267,7.6,0.18,0.52,361.4,21,196.1,24.2,0.64,6.8,0.56,1.28,0,0
1268,7.5,0.25,0.75,521.25,14.26,223.9,19.6,0.74,6.12,0.52,1.48,0,0
1269,7.2,0.27,0.7,468.5,11.26,213.7,19.3,0.66,6.28,0.44,1.4,0,0
1270,7.6,0.28,0.68,472.6,21,269.2,25.2,0.78,7.16,0.56,1.46,0,1
1271,7.2,0.25,0.54,375.3,18.01,283.6,12.4,0.82,6.58,0.26,2.42,0,1
1272,6.8,0.24,0.56,389.2,23.2,267.3,8.65,0.68,7.34,0.52,2.26,0,1
1273,6.6,0.28,0.62,430.9,24.7,167.3,17.6,0.62,7.48,0.2,2.16,0,0
1274,7,0.15,0.58,403.1,25.5,263.2,15.5,1.76,6.86,0.36,2.28,0,1
1275,7.2,0.28,0.64,444.8,12.01,267.1,14.2,0.72,6.82,0.34,2.46,0,1
1276,7.1,0.24,0.6,417,15.01,167.3,13.7,1.84,6.74,0.32,2.34,0,0
1277,6.9,0.24,0.54,375.3,23.2,179.4,12.4,1.38,6.62,0.28,2.32,0,0
1278,7.2,0.25,0.52,361.4,28.5,167.3,12.06,0.82,6.68,0.56,2.38,0,0
1279,7,0.25,0.5,347.5,27,263.2,11.6,1.46,6.42,0.22,2.18,0,1
1280,7.3,0.25,0.56,389.2,14.26,193.6,9.98,1.32,6.46,0.52,2.32,0,0
1281,7.4,0.24,0.64,444.8,25.5,267.3,10.05,1.46,6.52,0.24,2.4,0,1
1282,7.5,0.25,0.7,486.5,27.02,167.2,11.2,1.28,6.56,0.46,2.56,0,0
1283,6.9,0.24,0.66,458.7,21.02,287.1,13.3,1.24,6.42,0.28,2.58,0,1
1284,6.8,0.26,0.58,403.1,16.51,169.4,12.9,0.86,6.58,0.54,2.26,0,0
1285,6.7,0.26,0.6,417,9,263.1,13.7,0.82,6.66,0.26,2.34,0,1
1286,6.4,0.24,0.54,375.3,12.01,163.4,14.6,0.68,6.76,0.42,2.3,0,0
1287,7,0.25,0.58,403.1,24.02,276.3,15,0.74,6.6,0.28,2.24,0,1
1288,6.7,0.28,0.6,417,17.26,167.2,11.6,0.68,6.48,0.46,2.46,0,0
1289,6.7,0.27,0.66,458.7,24.7,283.2,12.4,0.72,6.26,0.34,2.34,0,1
1290,6.9,0.26,0.58,403.1,11.2,169.3,10.3,0.66,6.34,0.32,2.32,0,0
1291,7,0.26,0.62,430.9,21.7,267.6,15.5,0.74,6.32,0.28,2.58,0,1
1292,7.2,0.27,0.52,361.4,16.5,183.6,12.3,0.84,6.24,0.26,2.52,0,0
1293,7.3,0.15,0.56,389.2,8.25,297.2,11.2,0.7,6.22,0.3,2.44,0,1
1294,6.9,0.15,0.6,417,26.2,167.2,9.91,0.66,6.44,0.44,2.42,0,0
1295,6.8,0.15,0.64,444.8,18.7,287.2,7.75,0.64,6.4,0.42,2.36,0,1
1296,6.7,0.2,0.58,403.1,15.7,169.2,10.7,0.72,6.38,0.24,2.54,0,0
1297,6.5,0.21,0.56,389.2,12,176.3,9.05,0.68,6.26,0.32,2.58,0,0
1298,7,0.21,0.5,347.5,11.2,287.2,8.62,0.76,6.58,0.46,2.3,0,1
1299,7.2,0.22,0.54,375.3,19.5,167.5,15.5,0.82,6.24,0.28,2.4,0,0
1300,6.8,0.12,0.64,480.39,8.25,143.17,14.3,0.64,6.66,0.4,2.54,0,0
1301,7.5,0.49,0.74,514.3,29.28,197.56,28.37,0.7,6.34,0.4,3.18,0,0
1302,7.5,0.37,0.78,542.1,30.78,199.72,51.8,0.72,8.48,0.42,2.22,0,0
1303,7.6,0.17,0.6,417,11.26,197.2,18.8,0.68,8.6,0.34,1.9,0,0
1304,7.5,0.16,0.58,403.1,13.51,169.2,11.6,0.64,7.42,0.32,1.76,0,0
1305,7.6,0.14,0.66,458.7,11.26,163.5,13.4,0.66,10.01,0.3,1.84,0,0
1306,7,0.15,0.72,500.4,10.51,203.1,15.6,0.68,7.58,0.34,1.9,0,0
1307,6.9,0.17,0.62,430.9,12.01,287.5,10.25,0.7,8.6,0.36,1.92,0,1
1308,6.8,0.18,0.7,486.5,12.76,193.4,11.6,0.72,9.16,0.32,1.84,0,0
1309,6.5,0.2,0.64,444.8,11.26,203.5,13.4,0.64,9.24,0.3,1.9,0,0
1310,6.4,0.2,0.74,514.3,21,176.5,12.2,0.68,9.06,0.34,1.98,0,0
1311,6,0.23,0.72,500.4,14.26,226.3,14.4,0.66,8.26,0.4,1.82,0,0
1312,6.6,0.21,0.68,472.6,9.76,176.6,16.9,0.64,8.24,0.32,2.1,0,0
1313,6.6,0.19,0.52,361.4,12.76,163.5,15.3,0.64,8.16,0.42,2.248,0,0
1314,6.7,0.2,0.62,430.9,15.76,169.5,14.6,0.66,8.42,0.26,1.86,0,0
1315,6.9,0.2,0.6,417,9,203.4,11.24,0.62,9.2,0.32,1.92,0,0
1316,7,0.21,0.56,389.2,10.51,169.2,8.25,0.64,9.18,0.34,1.76,0,0
1317,7.1,0.21,0.64,444.8,11.26,193.5,15.4,0.7,9.82,0.36,1.66,0,0
1318,7.2,0.26,0.7,486.5,10.51,199.2,19.26,0.62,7.62,0.4,1.68,0,0
1319,7.2,0.24,0.58,403.1,14.26,169.5,10.24,0.66,7.44,0.42,1.7,0,0
1320,6.8,0.24,0.6,417,15.01,169.2,15.91,0.64,9.04,0.36,1.84,0,0
1321,6.8,0.25,0.54,375.3,10.51,173.5,21.2,0.66,8.46,0.38,2.248,0,0
1322,7.1,0.23,0.66,458.7,16.51,152.2,24.6,0.7,7.52,0.4,2.1,0,0
1323,7,0.21,0.72,500.4,14.26,287.4,30.5,0.68,7.74,0.42,1.92,0,1
1324,7.4,0.26,0.68,472.6,11.26,169.3,19.6,0.62,8.8,0.28,1.74,0,0
1325,7,0.28,0.56,389.2,11.26,167.3,15.6,0.72,8.9,0.34,1.82,0,0
1326,6.9,0.25,0.64,444.8,12.01,179.4,8.84,0.7,8.82,0.36,1.8,0,0
1327,6.4,0.23,0.72,500.4,10.51,287.5,18.26,0.64,11.44,0.34,1.98,0,1
1328,6.5,0.25,0.68,412.6,11.26,203.1,26.6,0.66,9.12,0.3,1.96,0,0
1329,6.8,0.27,0.6,417,12.76,203.5,29.3,0.64,7.72,0.32,1.82,0,0
1330,6.8,0.24,0.54,375.3,10.5,286.3,18.2,0.66,8.18,0.34,1.8,0,1
1331,6.9,0.28,0.74,514.3,12.01,199.5,21.5,0.64,9.04,0.3,1.76,0,0
1332,6.8,0.24,0.6,417,9.76,148.17,8.64,0.68,7.24,0.34,1.68,0,0
1333,6.6,0.25,0.64,444.8,9,147.2,10.2,0.66,6.24,0.4,1.72,0,0
1334,6.9,0.29,0.58,403.1,10.51,152.3,13.4,0.72,6.36,0.42,1.74,0,0
1335,6.8,0.26,0.66,458.7,11.26,263.5,14.6,0.7,6.82,0.36,1.9,0,1
1336,6.5,0.25,0.7,486.5,12.01,247.3,18.9,0.66,6.56,0.34,1.84,0,1
1337,6.6,0.24,0.72,500.4,9.76,223.4,12.2,0.64,7.48,0.32,1.82,0,0
1338,6.9,0.24,0.68,472.6,9,267.2,13.3,0.64,7.32,0.34,1.9,0,1
1339,6.8,0.23,0.64,444.8,11.26,151.2,11,0.66,7.14,0.36,1.92,0,0
1340,7,0.26,0.56,389.2,12.76,193.2,9.45,0.68,7.84,0.28,1.84,0,0
1341,6.9,0.24,0.52,361.4,17.26,169.4,16.6,0.66,5.72,0.26,1.78,0,0
1342,6.8,0.27,0.6,417,39.79,149.29,19.2,0.62,6.62,0.24,1.8,0,0
1343,6.8,0.28,0.58,403.1,29.28,163.2,9.45,0.64,5.5,0.36,1.78,0,0
1344,6.9,0.24,0.54,375.3,40.54,159.3,10.25,0.67,6.32,0.28,1.96,0,0
1345,7.1,0.28,0.66,458.7,24.02,147.6,19.2,0.6,6.16,0.32,1.72,0,0
1346,7.2,0.24,0.6,417,30.78,163.2,14.4,0.68,6.3,0.34,1.76,0,0
1347,7.3,0.27,0.54,375.3,27.77,197.3,16.6,0.72,7.54,0.4,1.84,0,0
1348,6.7,0.29,0.62,430.9,24.77,129.2,21.21,0.68,5.42,0.38,1.72,0,0
1349,6.6,0.27,0.68,472.6,15.01,147.3,19.25,0.72,5.66,0.34,1.92,0,0
1350,6.7,0.24,0.72,500.4,18.77,163.2,13.45,0.66,6.74,0.36,1.76,0,0
1351,6.9,0.29,0.75,521.25,18.01,127.6,16.5,0.64,6.36,0.32,1.9,0,0
1352,6.8,0.23,0.64,444.8,9,167.25,9.91,0.66,6.42,0.36,1.98,0,0
1353,6.1,0.27,0.56,389.2,9.76,147.3,13.71,0.68,7.1,0.4,1.92,0,0
1354,7,0.24,0.52,361.4,11.26,127.3,11.21,0.64,7.38,0.34,2.36,0,0
1355,7.1,0.29,0.5,347.5,16.51,223.1,13.26,0.62,6.18,0.4,1.82,0,0
1356,6.7,0.26,0.62,430.9,27.77,113.2,13.4,0.6,5.46,0.3,1.82,0,0
1357,6.6,0.29,0.7,486.5,26.27,141.5,11.2,0.62,7.42,0.32,1.76,0,0
1358,7,0.27,0.64,444.8,27.77,129.6,14.55,0.64,6.84,0.34,1.84,0,0
1359,7.2,0.24,0.72,500.4,22.52,123.3,8.45,0.62,7.42,0.28,1.78,0,0
1360,6.9,0.28,0.62,430.9,17.26,163.5,13.25,0.64,7.36,0.3,1.88,0,0
1361,6.8,0.24,0.7,486.5,12.76,187.2,16.45,0.66,7.62,0.32,1.56,0,0
1362,7.1,0.28,0.75,521.25,16.51,363.2,17.8,0.7,6.28,0.26,1.64,0,1
1363,6.8,0.24,0.56,389.2,26.27,126.3,21.2,0.64,8.84,0.32,1.8,0,0
1364,7,0.24,0.54,375.3,15.01,263.1,9.8,0.6,6.46,0.42,1.8,0,1
1365,6.9,0.25,0.66,458.7,18.01,147.3,4.5,0.64,6.54,0.38,2.34,0,0
1366,6.8,0.27,0.7,486.5,16.51,197.3,13.4,0.64,8.1,0.4,1.86,0,0
1367,7,0.28,0.62,430.9,21,261.3,16.4,0.66,7.44,0.28,1.92,0,1
1368,6.9,0.29,0.65,451.75,11.26,243.1,12.2,0.68,7.56,0.26,1.76,0,1
1369,6.9,0.27,0.6,417,18.77,134.7,11.25,0.7,7.64,0.24,1.94,0,0
1370,6.9,0.23,0.7,486.5,26.27,147.3,11,0.66,6.36,0.26,1.74,0,0
1371,6.9,0.26,0.58,403.1,16.51,127.3,9.35,0.66,6.48,0.24,1.94,0,0
1372,6.8,0.27,0.72,500.4,25.52,127.1,16.35,0.66,7.08,0.22,1.9,0,0
1373,6.7,0.24,0.75,521.25,27.77,169.3,11.25,0.64,6.48,0.24,1.8,0,0
1374,6.8,0.23,0.66,458.7,14.26,167.2,10.35,0.64,6.1,0.3,1.68,0,0
1375,6.7,0.24,0.56,389.2,24.77,129.1,10.35,0.68,6.34,0.26,1.88,0,0
1376,8.2,0.13,0.75,521.25,17.26,287.1,16.44,0.78,7.22,0.24,1.38,0,1
1377,8.5,0.14,0.72,500.4,10.51,163.1,23.8,0.82,7.6,0.28,1.44,0,0
1378,8,0.14,0.68,472.6,12.76,197.6,18.4,0.68,6.58,0.2,1.26,0,0
1379,7.8,0.15,0.64,444.8,14.26,287.6,12.8,0.64,6.52,0.24,1.2,0,1
1380,7.5,0.15,0.62,430.9,21,183.5,19.2,0.76,8.26,0.32,1.4,0,0
1381,7.4,0.16,0.7,486.5,11.26,297.1,18.6,0.62,6.56,0.36,1.36,0,1
1382,7.2,0.17,0.6,417,15.01,287.6,17.8,0.6,6.44,0.4,1.18,0,1
1383,6.9,0.17,0.54,375.3,12.01,167.4,14.6,0.66,6.42,0.42,1.24,0,0
1384,6.5,0.18,0.66,458.7,21,263.2,16,0.68,6.36,0.38,1.36,0,1
1385,6.6,0.18,0.74,514.3,11.26,197.6,20.4,0.72,6.3,0.22,1.48,0,0
1386,6.8,0.53,0.06,389.2,10.54,23.4,28.1,0.64,8.22,0.34,3,0,0
1387,7.1,0.53,0.54,375.3,12.6,150.41,13.06,0.66,7.62,0.36,2.68,0,0
1388,7.6,0.17,1.14,792.3,22.52,490.32,48.8,0.86,10.48,0.6,2.42,0,3
1389,7.8,0.17,1.02,708.4,21.77,474.81,19.3,0.7,11.6,0.44,2.66,0,3
1390,7.9,0.17,1.09,757.55,15.76,472.08,12.6,0.6,8.2,0.82,2.8,0,3
1391,7.3,0.17,1.03,715.85,18.77,413.08,14.04,0.84,9.54,0.74,2.6,0,3
1392,7.2,0.18,1.28,889.6,15.01,412.1,18.4,0.62,8.6,0.7,2.72,0,3
1393,7.1,0.18,1.16,806.2,17.26,488.28,16.6,0.66,9.42,0.82,2.6,0,3
1394,7.5,0.17,1.11,771.45,16.51,470.18,17.4,0.98,6.72,0.74,2.248,0,3
1395,7.2,0.17,1.04,722.8,19.52,510.18,19.6,0.9,8.66,0.66,2.66,0,3
1396,7.9,0.13,0.74,514.3,15.55,116.1,6.85,0.66,8.22,0.66,2.42,0,0
1397,6.4,0.14,0.85,590.75,19.88,140.12,12.54,0.6,9.42,0.66,2.8,0,3
1398,6.2,0.14,0.79,549.05,20.83,108.12,19.6,0.86,7.12,0.82,2.96,0,0
1399,6.8,0.14,0.77,535.15,13.69,92.18,20.4,0.92,8.66,0.48,3.42,0,0
1400,7.7,0.18,0.58,403.1,22.51,210.12,12.3,1.1,6.54,0.28,2.9,0,0
1401,6.4,0.23,0.58,403.1,11.25,264.3,18.4,0.64,5.46,0.4,1.26,0,1
1402,6.6,0.26,0.6,417,10.51,213.9,11.45,0.86,5.48,0.38,1.22,0,0
1403,6.9,0.21,0.56,389.2,9.76,263.4,12.23,0.74,6.56,0.32,0.86,0,1
1404,7,0.27,0.52,361.4,8.25,303.4,15.23,0.78,6.58,0.44,0.84,0,1
1405,7.2,0.3,0.62,430.9,9,297.4,16.42,0.72,6.48,0.36,0.9,0,1
1406,7.4,0.25,0.66,458.7,11.26,263.4,11.23,0.76,6.64,0.48,1.32,0,1
1407,7.1,0.27,0.54,375.3,16.51,197.3,16.45,0.82,6.36,0.32,1.36,0,0
1408,7.5,0.22,0.64,444.8,18.01,164.2,23.2,0.66,6.32,0.36,1.38,0,0
1409,6.3,0.21,0.7,486.5,12.01,227.3,19.24,0.6,6.44,0.34,1.42,0,0
1410,6.4,0.27,0.74,514.3,17.26,163.4,11.23,0.68,5.72,0.58,1.44,0,0
1411,6.6,0.28,0.68,472.6,21,297.1,7.65,0.64,5.86,0.72,1.32,0,1
1412,6.8,0.27,0.72,500.4,14.26,163.5,11.23,0.62,5.84,0.56,1.26,0,0
1413,6.9,0.24,0.75,521.2,11.26,137.5,12.45,0.62,5.88,0.52,1.22,0,0
1414,6.6,0.25,0.6,417,11.26,226.3,11.25,0.62,6.68,0.46,1.48,0,0
1415,6.5,0.27,0.72,500.4,10.51,297.4,14.35,0.78,6.72,0.58,1.64,0,1
1416,6.6,0.25,0.64,444.8,13.51,187.2,21.5,0.86,6.58,0.74,1.56,0,0
1417,6.6,0.25,0.64,444.8,13.51,187.2,21.5,0.86,6.58,0.74,1.56,0,0
1418,7,0.26,0.56,389.2,14.26,169.5,9.95,0.64,6.62,0.72,1.24,0,0
1419,7.1,0.24,0.7,486.5,21,287.3,6.65,0.84,6.62,0.72,1.24,0,1
1420,7.2,0.24,0.66,458.3,18.01,193.5,21.26,0.82,8.82,0.56,1.28,0,0
1421,7.4,0.27,0.6,417,12.01,263.7,19.45,0.88,8.64,0.66,1.26,0,1
1422,7.5,0.24,0.64,444.8,17.26,199.3,20.2,0.9,7.7,0.64,1.16,0,0
1423,6.9,0.25,0.56,389.2,7.5,157.4,11.26,0.76,7.72,0.44,1.42,0,0
1424,6.8,0.26,0.52,361.4,9,286.3,13.4,0.78,6.86,0.42,1.22,0,1
1425,6.7,0.25,0.5,347.5,9.76,297.3,7.4,0.84,6.84,0.76,1.24,0,1
1426,6.4,0.25,0.54,375.3,8.25,199.3,6.65,0.66,6.66,0.54,1.46,0,0
1427,6.6,0.29,0.6,417,21,296.3,8.65,0.68,7.14,0.52,1.22,0,1
1428,6.8,0.29,0.58,403.1,11.26,303.4,10.45,0.94,6.56,0.68,1.2,0,1
1429,7,0.24,0.62,430.9,19.52,267.2,23.25,0.66,6.52,0.56,1.18,0,1
1430,7.1,0.22,0.68,472.6,15.01,363.9,25.5,0.68,6.48,0.52,1.34,0,1
1431,7.4,0.21,0.72,500.4,18.01,297.4,17.86,0.72,6.4,0.78,1.36,0,1
1432,7.5,0.24,0.74,514.3,17.26,297.3,16.64,0.74,6.46,0.62,1.54,0,1
1433,7.6,0.24,0.7,486.5,7.5,169.2,13.63,0.76,8.82,0.66,1.74,0,0
1434,7.7,0.26,0.66,458.7,9.76,376.4,12.45,0.86,8.64,0.58,1.72,0,1
1435,7.5,0.29,0.56,389.2,11.26,297.6,15.5,0.78,8.72,0.44,1.86,0,1
1436,7.6,0.25,0.56,389.2,18.01,287.4,17.86,0.66,8.86,0.78,1.84,0,1
1437,7,0.29,0.6,417,10.51,297.2,15.45,0.68,6.74,0.72,1.54,0,1
